"","id","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","age","nation","school","gender"
"118",119,4,3,5,5,4,4,5,5,3,5,20,"1",3,"weiblich"
"119",120,2,2,5,5,4,2,5,4,4,5,27,"1",3,"weiblich"
"120",121,5,5,2,5,3,5,2,4,2,5,19,"1",3,"männlich"
"121",122,2,5,2,5,4,4,1,3,4,5,23,"1",3,"männlich"
"122",123,5,3,4,4,3,4,3,2,4,4,24,"1",3,"weiblich"
"123",124,4,4,4,3,4,3,4,4,4,4,22,"4",3,"männlich"
"124",125,3,2,4,5,4,3,4,2,4,5,24,"1",3,"männlich"
"125",126,2,5,3,4,5,4,2,5,5,4,23,"1",3,"männlich"
"126",127,4,2,1,5,3,4,4,5,4,5,22,"1",3,"männlich"
"127",128,5,4,5,4,5,5,5,3,5,5,19,"1",3,"männlich"
"128",129,5,4,4,5,3,4,4,4,3,5,18,"1",3,"männlich"
"129",130,5,3,4,5,5,5,5,4,5,5,19,"1",3,"männlich"
"130",131,3,3,3,4,5,3,2,2,5,3,22,"1",3,"weiblich"
"131",132,3,2,4,3,4,4,3,3,4,5,24,"12",3,"männlich"
"132",133,3,5,4,5,3,4,4,3,3,5,29,"1",3,"weiblich"
"133",134,3,5,3,2,3,3,3,5,3,1,28,"1",3,"weiblich"
"134",135,3,4,3,4,3,4,3,4,3,4,27,"1",3,"weiblich"
"135",136,3,4,1,5,3,4,1,5,4,2,21,"1",3,"männlich"
"136",137,4,4,3,4,3,4,3,5,4,4,28,"1",3,"weiblich"
"137",138,3,5,5,4,4,4,5,5,4,5,21,"1",3,"männlich"
"138",139,3,5,5,2,4,4,5,5,5,3,25,"1",3,"weiblich"
"139",140,4,5,5,2,4,5,5,5,5,4,40,"2",3,"männlich"
"140",141,4,5,4,4,5,3,4,3,5,4,25,"1",3,"männlich"
"141",142,5,3,3,3,4,5,4,4,3,2,22,"1",3,"männlich"
"142",143,3,5,3,5,3,5,2,5,3,5,27,"1",3,"weiblich"
"143",144,3,4,4,5,4,4,4,4,4,4,26,"1",3,"männlich"
"144",145,5,5,5,5,4,5,4,5,4,4,23,"1",3,"männlich"
"145",146,4,4,3,2,4,5,3,4,3,3,21,"1",3,"weiblich"
"146",147,5,5,4,5,4,4,3,4,4,4,27,"1",3,"männlich"
"147",148,2,1,3,4,5,1,3,2,5,4,23,"1",3,"weiblich"
"148",149,2,4,3,2,2,2,3,5,1,4,22,"1",3,"weiblich"
"149",150,4,5,3,4,4,4,3,5,4,3,22,"1",3,"männlich"
"150",151,4,5,3,3,4,4,3,4,4,3,22,"1",3,"männlich"
"151",152,5,3,3,3,4,2,1,2,5,2,23,"1",3,"weiblich"
"152",153,4,4,5,5,4,2,4,3,5,4,22,"1",3,"männlich"
"153",154,5,5,5,3,4,5,4,4,4,3,28,"1",3,"weiblich"
"154",155,3,4,5,4,4,3,4,4,4,3,22,"1",3,"männlich"
"155",156,5,5,3,4,4,5,3,4,4,2,24,"1",3,"männlich"
"156",157,4,5,2,5,3,5,2,4,3,5,22,"1",3,"männlich"
"157",158,4,3,4,3,4,4,4,3,4,3,21,"1",3,"männlich"
"158",159,4,3,4,3,4,3,4,4,4,3,23,"1",3,"weiblich"
"159",160,3,5,4,5,4,4,3,4,3,5,30,"1",3,"männlich"
"160",161,3,3,4,3,4,3,4,4,4,3,33,"1",3,"weiblich"
"161",162,4,4,2,4,4,5,3,3,4,4,22,"1",3,"männlich"
"162",163,5,5,4,5,4,5,4,3,4,5,25,"1",3,"männlich"
"163",164,5,3,5,2,4,4,4,2,4,2,30,"1",3,"weiblich"
"164",165,4,4,3,4,4,4,3,3,4,4,19,"1",3,"männlich"
"165",166,4,4,3,5,4,5,4,5,4,5,24,"1",3,"weiblich"
"166",167,5,4,4,4,4,4,4,4,4,4,22,"1",3,"weiblich"
"167",168,5,5,5,5,3,4,4,5,3,5,22,"1",3,"männlich"
"168",169,4,5,5,5,4,4,5,5,4,5,22,"1",3,"männlich"
"169",170,5,5,2,5,4,5,2,5,4,5,26,"1",3,"männlich"
"170",171,4,5,3,5,4,5,3,5,4,5,23,"1",3,"männlich"
"171",172,5,5,4,5,2,4,4,4,2,3,32,"1",3,"männlich"
